Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 47623.364344044254, 44748.550027436024, 45959.2993210911, 48943.480723319146, 40138.815657951316, 43209.07362807675, 42129.618481352154, 41242.36598519874, 54224.46033054118, 48720.74558982201, 27644.972818490605, 47081.20043053632, 52164.188285373246, 49224.084523211066, 44300.73282727395, -90677.02629292326, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 25.5, 0.0, 0.0, 0.0, 1.655806868120726E9, 0.0, 2022-06-21 19:21:08.120
2.0, 95042.14317108908, 89704.25602248384, 97684.2087726842, 100807.88741205781, 80249.82574580023, 86439.18024768594, 86319.44195263887, 83665.66403694917, 111207.17063035615, 94229.97018456104, 48581.62833233218, 87311.2112058653, 105260.39961104389, 101149.28795686817, 88215.18280687128, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 38.5, 0.0, 0.0, 0.0, 1.655806868126706E9, 0.0, 2022-06-21 19:21:08.126
4.0, 95161.99322485844, 89503.24678459726, 95314.02979064343, 99540.02941131942, 80267.9977140424, 86396.13078786503, 85234.0188901447, 82986.75215086367, 112004.61381728815, 98355.54341739934, 55630.00507712425, 95019.67966791149, 105211.9857325537, 101245.71338244838, 89088.95720111814, -186989.6873223409, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 46.0, 0.0, 0.0, 0.0, 1.6558068681336892E9, 0.0, 2022-06-21 19:21:08.133
6.0, 95045.5853397352, 89713.21907201041, 96919.3767809125, 100427.46072142849, 80242.27085617433, 86418.50488406478, 86089.44250219375, 83536.44860225303, 111166.49045544749, 94059.60518832269, 48585.0705009783, 86939.32288161789, 105245.46864574775, 101124.85750017852, 88094.9974769351, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 96.0, 0.0, 121.0, 40.0, 54.0, 0.0, 0.0, 0.0, 1.6558068681408339E9, 0.0, 2022-06-21 19:21:08.140
8.0, 95145.63174791716, 89494.30608681514, 96095.04444540078, 99918.57855541451, 80268.53415590932, 86398.56712801065, 85467.3711022581, 83107.7197918558, 112024.59627683119, 98450.62773831222, 55474.1463630374, 95269.59452266629, 105215.91963957783, 101269.51799029327, 89186.96960055466, -186955.48915332428, 0.0, 0.0, 0.0, 196.0, 17.5, 96.0, 0.0, 121.0, 40.0, 62.0, 0.0, 0.0, 0.0, 1.6558068681497564E9, 0.0, 2022-06-21 19:21:08.149
10.0, 95084.90205823208, 89688.27452519829, 96109.50602406336, 100034.71821960428, 80239.54394335079, 86416.33676485262, 85819.18755998464, 83387.96596383644, 111129.07363522932, 94037.38755433411, 48849.84926579586, 86822.53501683891, 105237.46672123275, 101111.5135087387, 88010.35142068284, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 70.0, 0.0, 0.0, 0.0, 1.6558068681577597E9, 0.0, 2022-06-21 19:21:08.157
12.0, 95131.97483205496, 89511.87455795701, 96880.0600624156, 100306.35896996963, 80267.81890008676, 86398.3436105661, 85710.46867495403, 83245.42888944494, 112038.67787583804, 98399.5763539763, 55107.33188478135, 95230.21074893604, 105219.31710473503, 101263.81829545717, 89238.26685407959, -186938.94886242735, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 78.0, 0.0, 0.0, 0.0, 1.6558068681667488E9, 0.0, 2022-06-21 19:21:08.166
14.0, 95095.58619208173, 89706.73706611837, 95315.01326739947, 99642.24393871355, 80243.50020211938, 86423.35521261158, 85577.96753382296, 83258.45995646238, 111116.08727170077, 94183.14327992717, 49345.99093747031, 87013.84359763189, 105233.95749735326, 101111.1111773385, 87976.82380399988, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 86.0, 0.0, 0.0, 0.0, 1.6558068681737833E9, 0.0, 2022-06-21 19:21:08.173
16.0, 95078.10712791767, 89524.95032846337, 97636.82307443894, 100672.32408193637, 80260.66634186106, 86384.2396598148, 85956.36021570685, 83373.97377180742, 112012.74985226987, 98225.70213385846, 54553.43330543439, 94951.88682697855, 105224.0333228151, 101264.53355127973, 89263.74784275865, -186970.42011862042, 0.0, 0.0, 0.0, 196.0, 0.0, 80.0, 0.0, 121.0, 40.0, 94.0, 0.0, 0.0, 0.0, 1.6558068681827807E9, 0.0, 2022-06-21 19:21:08.182
18.0, 95114.94280278002, 89655.23864689334, 94572.10833693843, 99267.98632955388, 80259.25818196037, 86419.04132593171, 85335.0934785716, 83123.20955076332, 111157.59446115428, 94451.4983238576, 50039.31969872948, 87476.1000247121, 105240.97594511222, 101102.28223827867, 87985.38452212626, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 112.0, 0.0, 121.0, 40.0, 102.0, 0.0, 0.0, 0.0, 1.6558068681898768E9, 0.0, 2022-06-21 19:21:08.189
20.0, 95084.23150589842, 89533.39928786746, 98295.77485272585, 101005.94621967629, 80267.17069949755, 86405.1385408805, 86211.77359959765, 83518.0084130774, 111942.90065084705, 97884.3015890481, 53824.83349142474, 94385.67243643671, 105228.0342850726, 101264.35473732409, 89251.94612168624, -187018.85634885507, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 110.0, 0.0, 0.0, 0.0, 1.6558068681977873E9, 0.0, 2022-06-21 19:21:08.197
22.0, 95149.27508226337, 89662.83824000815, 93957.36830918412, 98959.73342177075, 80251.30096093428, 86416.91791020846, 85102.05419088056, 82983.24292698418, 111218.88294445074, 94862.81512532415, 50875.11847914678, 88208.81255970152, 105225.41913097134, 101120.94594489885, 88041.44269722018, -187425.85926364176, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 118.0, 0.0, 0.0, 0.0, 1.655806868204818E9, 0.0, 2022-06-21 19:21:08.204
