Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 48204.733217326786, 45775.99266481312, 48239.95956658835, 50384.92237149744, 40492.64377267883, 43705.59527940694, 42867.226048377284, 41780.84186087154, 57101.889801250676, 49125.53568190762, 27961.942906611315, 47208.471263464846, 52561.82581923316, 51030.328992644434, 44503.038466338934, -93626.40602903439, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 8.5, 121.5, 0.0, 0.0, 0.0, 1.655806991220765E9, 0.0, 2022-06-21 19:23:11.220
2.0, 96386.37708263125, 91331.21714964118, 99315.75200745488, 101929.8555767364, 80988.14856864793, 87375.13719500747, 86174.26737240165, 83665.97696137155, 113947.85212848808, 98524.18732931463, 52928.70735272257, 93767.46788829182, 107940.3290677463, 105846.66351636214, 89404.98851597172, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 6.0, 0.0, 0.0, 0.0, 1.6558069912267945E9, 0.0, 2022-06-21 19:23:11.226
4.0, 96587.14045132881, 91478.67160781284, 93305.30086818944, 99406.90242134362, 81054.62265665802, 87486.98532426183, 84730.0988113998, 82884.33645776946, 113303.63014979723, 95980.15647890049, 51305.32250467807, 88818.47874146447, 108053.02656328995, 105833.18541445558, 88473.90424894146, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 14.0, 0.0, 0.0, 0.0, 1.6558069912347093E9, 0.0, 2022-06-21 19:23:11.234
6.0, 96369.5462190564, 91354.57472259698, 99770.40884142029, 102121.83470986303, 80985.8686907135, 87376.61241014152, 86341.01138603824, 83784.73177966259, 113866.35766820404, 97925.24998489022, 51791.38353960318, 92720.91450940544, 107971.733268706, 105852.09499026478, 89319.71661087473, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 72.0, 0.0, 123.0, 9.0, 22.0, 0.0, 0.0, 0.0, 1.6558069912427773E9, 0.0, 2022-06-21 19:23:11.242
8.0, 96600.48444276863, 91478.89512525739, 93007.5085768114, 99280.30214074877, 81077.06380809114, 87499.07761801215, 84633.15929569713, 82795.46592181515, 113457.29839292746, 96638.81768450949, 52471.01068151125, 89979.27188626194, 108054.0547435349, 105835.48764413448, 88595.31892482268, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 96.0, 0.0, 123.0, 9.0, 30.0, 0.0, 0.0, 0.0, 1.6558069912517705E9, 0.0, 2022-06-21 19:23:11.251
10.0, 96306.5813549258, 91377.68642636377, 99987.24311438121, 102200.84812651254, 80973.84345219654, 87369.61631412701, 86423.66813703396, 83852.16699268424, 113766.26655653317, 97247.81331393878, 50624.3989615916, 91549.0572511026, 107994.6438067727, 105857.81703684534, 89208.71784790968, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 38.0, 0.0, 0.0, 0.0, 1.6558069912577832E9, 0.0, 2022-06-21 19:23:11.257
12.0, 96587.00634086208, 91440.60658700546, 92949.30463424977, 99234.86104427112, 81073.12990106702, 87486.24771669481, 84565.12058557518, 82726.35432795934, 113575.04738271802, 97308.83357630177, 53556.63490970551, 91176.87835417729, 108021.42119663015, 105837.74517032447, 88711.52564424583, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 46.0, 0.0, 0.0, 0.0, 1.6558069912667944E9, 0.0, 2022-06-21 19:23:11.266
14.0, 96297.14891876566, 91393.3773509714, 99984.91853295786, 102186.58771355006, 80961.61704797948, 87352.65134008543, 86445.9528262559, 83882.00657153208, 113624.84706936445, 96562.15120102778, 49554.532713238325, 90303.46158784171, 108016.45910936108, 105853.480798421, 89060.19050600416, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 54.0, 0.0, 0.0, 0.0, 1.6558069912737796E9, 0.0, 2022-06-21 19:23:11.273
16.0, 96612.21910860766, 91422.99341237466, 93137.86395047474, 99303.01151311536, 81077.06380809114, 87478.6034200911, 84562.19250705153, 82701.99092650306, 113709.91780876134, 97965.86310456552, 54552.360421700534, 92356.2457986171, 108009.50771683548, 105813.0241409569, 88843.53504699888, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 96.0, 0.0, 123.0, 9.0, 62.0, 0.0, 0.0, 0.0, 1.655806991281816E9, 0.0, 2022-06-21 19:23:11.281
18.0, 96309.71059914955, 91404.26265052112, 99748.41472487626, 102087.12245072395, 80967.8084811936, 87357.92635177688, 86414.68273576292, 83890.5002344251, 113518.22924831264, 95905.97103905333, 48623.26963225241, 89110.41487579524, 108052.31130746739, 105867.58474917231, 88914.56889087784, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 80.0, 0.0, 123.0, 9.0, 70.0, 0.0, 0.0, 0.0, 1.655806991290837E9, 0.0, 2022-06-21 19:23:11.290
