,0
0,-8.768538896732494e-09
1,31977.70528603693
2,27885.089953912175
3,37788.295393162
4,44387.87891524911
5,40435.55445908762
6,32657.301398248896
7,33294.98514949011
8,38064.146901689564
9,40347.86329679261
10,38090.30231652674
11,36476.73132525507
12,36058.883412560936
13,36335.843448850705
14,37620.74488323119
15,39265.34060008309
16,38836.63087492886
17,35460.07966507174
18,34930.73083869296
19,37848.03722781609
20,40580.24535052918
21,37348.92501149498
22,34490.23907397037
23,35539.63028066548
24,39549.75632886175
25,38576.65363919301
26,35715.76977127268
27,35294.27281217004
28,38513.713411878576
29,38376.49483952311
30,35753.36350456794
31,35096.882786221046
32,38119.56793702698
33,38581.757725974465
34,35437.01711379836
35,34002.376763006614
36,37035.31858300885
37,39263.38709154082
38,36482.65305764683
39,33656.69934456225
40,35141.116290201375
41,38618.977630492955
42,37607.56548850129
43,34733.222824232704
44,34257.752759647716
45,37077.46101290689
46,37191.78177139727
47,35498.90141478315
48,34492.41279790939
49,36020.46105043439
50,35762.8936003486
51,34770.831720716946
52,34554.547889841124
53,36147.301166131845
54,35881.89753855721
55,33939.350503227295
56,33872.50324691649
57,36399.55491430367
58,37394.1956369612
59,34935.21860512902
60,33794.070256523424
61,36235.60280735491
62,38819.81197799182
63,36948.94920118644
64,34923.782279927786
65,36396.61146026629
66,39818.65532127873
67,39354.881262762494
68,37524.41192540606
69,37833.181422335605
70,40858.679469386494
71,41097.62483445082
72,39695.16861940123
73,39735.49623213997
74,42396.16390352876
75,43254.84140569276
76,41804.97862608055
77,41131.17700420928
78,43816.4322306666
79,44865.62436628221
80,41809.702763321184
81,39217.40752789818
82,39962.868986959
83,40010.262223643644
84,37288.21447547342
85,35457.001412787475
86,36571.80166047195
87,38229.2500376397
88,36609.59419346083
89,34855.387108588155
90,35716.72017180989
91,37936.61710158113
92,36699.73583515943
93,35142.46233503206
94,35887.2566929362
95,38378.49502946388
96,37361.66642036621
97,35106.770325085425
98,34930.843874421436
99,37694.903260625986
100,37520.25967076295
101,35194.974420146515
102,34365.61392296196
103,37205.03407867481
104,38325.63810349257
105,36309.539836204436
106,34764.4540248063
107,36835.35580310929
108,38562.11007206487
109,37154.183766222195
110,35731.26075251483
111,37249.19491952228
112,39372.6493727724
113,38260.98726557848
114,36893.71527767067
115,38030.81964296001
116,40296.87812947791
117,39014.74993728947
118,37437.01762906839
119,38418.18721302985
120,41449.139708706905
121,40644.226555152905
122,38540.32670517194
123,38681.48813400334
124,41993.28515513659
125,41774.09535800347
126,39287.202821083396
127,38402.54637902416
128,41292.9227749295
129,41915.62032791396
130,39493.644419867254
131,37840.98221595047
132,40263.67831864655
133,41950.00715836062
134,40007.075003043894
135,38256.37263801703
136,40106.50506128248
137,42022.984990966914
138,39906.364632384764
139,37672.74684898305
140,38625.54931547993
141,40771.63423316872
142,38380.35897718716
143,35412.16645307213
144,35529.8986670272
145,38717.43613760956
146,37532.63251334726
147,34903.14558755431
148,34601.88414200428
149,38260.269862771405
150,38055.062712224426
151,35456.65586381972
152,34550.90582520071
153,38273.9187577878
154,38929.684114133575
155,36199.44447596003
156,34710.07922725123
157,38133.46838793064
158,39920.26446661455
159,37193.1066145122
160,35125.25103175907
161,37985.10639023942
162,40978.81786281972
163,38323.0930144011
164,35541.59031921488
165,37237.184950459065
166,41218.18024940778
167,39209.854960749486
168,36193.69054131719
169,36956.01000452501
170,41743.3120262182
171,40667.33775741703
172,37643.89194072095
173,37404.996703531026
174,42145.853156497455
175,41869.78435712879
176,38680.66378146355
177,37519.689386805054
178,41975.01612885051
179,42653.86393255841
180,39055.0035884222
181,36916.406649980825
182,40575.58256375042
183,42411.51545047596
184,38680.38861699353
185,35694.85006400425
186,38406.38196704058
187,41612.49032058425
188,38374.331392638924
189,34969.29059506743
190,36478.96976327321
191,40764.577666760306
192,38409.58288733388
193,34906.41043141017
194,35250.55077338903
195,40061.656483220664
196,38699.384664860845
197,35100.09942269027
198,34407.93534537962
199,39416.00697182774
200,39171.48008861649
201,35516.5064199254
202,34103.90223140888
203,38923.735240132715
204,39938.31304856941
205,36187.62551895341
206,33945.94466756412
207,37986.91404166261
208,40368.94601978273
209,36871.64934783458
210,34075.733896745965
211,37104.18661518366
212,40825.74134443865
213,37727.14963088148
214,34505.26072099552
215,36270.05668469527
216,40922.09893608881
217,38406.336756398
218,34733.16686138857
219,35167.03117363299
220,40378.4434755931
221,38914.406631069025
222,35145.96748843076
223,34527.00405331704
224,39929.67237675317
225,39766.47462481304
226,35898.72983298295
227,34228.7722988389
228,39164.968490524
229,40398.430603551984
230,36487.67434856274
231,34016.98368314025
232,38132.54850835608
233,40823.14542012795
234,37164.36425328805
235,34144.21100371218
236,37154.046488826265
237,41137.74313121324
238,37887.72964995321
239,34558.685196517195
240,36390.59683801609
241,41493.925618555695
242,39201.26208510825
243,35799.44829880344
244,36490.84380420811
245,42298.57123453689
246,40998.83395384746
247,37163.51125292985
248,36524.4062405534
249,42274.227102080666
250,42331.82113781548
