,0
0,-5097.481189739302
1,-4802.358878999189
2,-6128.481573851978
3,-7053.649483539708
4,-6488.139830219312
5,-5519.875076961989
6,-5335.370303107215
7,-6002.201084637261
8,-6475.910156885019
9,-6434.813293097341
10,-5857.567769490037
11,-5573.821434578228
12,-5724.318920296594
13,-6333.80247392563
14,-6406.053114498932
15,-5991.521936424795
16,-5496.883686454084
17,-5840.222253741133
18,-6330.646325634667
19,-6348.299844095722
20,-5794.77392753068
21,-5690.54658725432
22,-6047.405634485741
23,-6280.87915011284
24,-5972.942311340328
25,-5789.267839957487
26,-6035.788194578865
27,-6198.0473424111915
28,-5970.517518539691
29,-5745.613632108707
30,-6055.624852233981
31,-6292.98592211558
32,-6103.245499042248
33,-5682.403302054681
34,-5893.971085654059
35,-6262.584872555644
36,-6295.652537497023
37,-5797.496553052952
38,-5755.186540757151
39,-6031.138210004918
40,-6269.433821080687
41,-5992.315302978737
42,-5880.175362653095
43,-5948.5211262121375
44,-6107.477582454492
45,-5981.225341488985
46,-5990.614265691786
47,-6084.1076915551
48,-6068.613843898693
49,-5854.899432189015
50,-5876.94346854684
51,-6194.238486545648
52,-6237.027785318203
53,-5899.662962098537
54,-5698.895402028502
55,-6082.851695066824
56,-6336.474985641423
57,-6120.252359713533
58,-5676.1742693290935
59,-5891.219388451522
60,-6253.666663810052
61,-6291.7843176815595
62,-5842.942171079048
63,-5839.636435778061
64,-6080.3882053497655
65,-6226.4993771698955
66,-5910.904597829822
67,-5863.3331458380435
68,-6035.304811028049
69,-6161.832159678163
70,-5900.620095179864
71,-5843.364662537901
72,-6062.569075569154
73,-6185.027838276497
74,-5943.511305980794
75,-5780.5050832507
76,-6023.684447628401
77,-6210.469905697854
78,-6032.48753703048
79,-5766.835724096642
80,-5968.004872689829
81,-6155.609861008861
82,-6082.35116736143
83,-5767.336568521661
84,-5938.478700354673
85,-6120.997914255804
86,-6114.885714351688
87,-5786.485505343802
88,-5918.384909469165
89,-6149.2794646894
90,-6159.067311729042
91,-5783.3931392661325
92,-5831.754216769743
93,-6117.4877102646415
94,-6229.237979448784
95,-5865.796665309195
96,-5727.2713591413885
97,-6023.676731464142
98,-6259.317223642396
99,-6006.981361122203
100,-5729.642096121057
101,-5941.051925578386
102,-6192.815426159944
103,-6107.561191486859
104,-5807.376490364179
105,-5941.694719572053
106,-6120.198726378126
107,-6118.104879566958
108,-5833.0508569038975
109,-5960.922671225064
110,-6106.109039907798
111,-6089.111473220693
112,-5781.148531586083
113,-5895.6186940580465
114,-6124.085437878921
115,-6161.341892081925
116,-5804.023502153081
117,-5825.934023083428
118,-6117.34064383982
119,-6237.277560725873
120,-5892.443057871609
121,-5751.2212985052465
122,-6021.926176408893
123,-6224.621594304465
124,-5996.489904781583
125,-5737.478692860266
126,-5950.512599003661
127,-6167.8896590819295
128,-6071.996532933058
129,-5766.857736246858
130,-5936.428502274365
131,-6137.418218690218
132,-6111.697028669749
133,-5797.801748493699
134,-5926.2797852073
135,-6127.284803696379
136,-6150.253287884661
137,-5796.357641329323
138,-5856.505345670657
139,-6093.416159809289
140,-6177.222447199516
141,-5840.437500515771
142,-5794.871579319612
143,-6049.4890925851405
144,-6188.189983972592
145,-5921.213439757148
146,-5788.25246460456
147,-6018.542314635543
148,-6171.290159071241
149,-5965.088711421169
150,-5734.483546575125
151,-5978.723906272479
152,-6160.768069900429
153,-6036.423097831168
154,-5730.975489886765
155,-5934.107230182128
156,-6151.450926808656
157,-6101.1321436181515
158,-5738.8364482650695
159,-5865.841350133056
160,-6108.6417613558615
161,-6162.293464937324
162,-5802.5687045587
163,-5818.020853958356
164,-6062.149901197494
165,-6191.981202247266
166,-5869.681451137594
167,-5785.636864001546
168,-6020.067651860836
169,-6175.793509355486
170,-5931.501196997779
171,-5775.1488058991
172,-5995.941761620785
173,-6156.892297217456
174,-5982.681899284596
175,-5741.208429681186
176,-5966.594384927714
177,-6145.845535045322
178,-6036.154153202768
179,-5715.742535438583
180,-5907.859336470325
181,-6144.960026987594
182,-6124.444455811386
183,-5749.19830894397
184,-5860.5996904115245
185,-6107.265525033652
186,-6167.63815980187
187,-5799.304860495944
188,-5801.2710812435
189,-6034.743360628567
190,-6169.59910120887
191,-5861.455510462926
192,-5762.950647394064
193,-5997.0791222644875
194,-6166.033449753255
195,-5927.2790260530355
196,-5751.055924388071
197,-5990.862518215863
198,-6160.940646989808
199,-5988.427542200195
200,-5725.059868121269
201,-5952.310645418453
202,-6141.228985652831
203,-6064.038033309525
204,-5725.0978450811745
205,-5881.806587719932
206,-6103.013364877737
207,-6100.376774017093
208,-5757.946374952362
209,-5854.8472164648865
210,-6087.670547333177
211,-6154.403578023461
212,-5801.8381967574605
213,-5789.599794944219
214,-6024.271737806774
215,-6156.818115546207
216,-5858.271399734638
217,-5746.112254010573
218,-5981.914980448266
219,-6147.935322003977
220,-5916.703315270719
221,-5699.541113073743
222,-5948.011203465222
223,-6140.856506117376
224,-5995.2103608767
225,-5699.334305651301
226,-5896.148126647238
227,-6108.248890301569
228,-6064.364322283682
229,-5715.00826786078
230,-5856.044714437201
231,-6081.802352944205
232,-6118.330445758239
233,-5772.435773735077
234,-5846.289177670602
235,-6072.826913391133
236,-6138.521524357444
237,-5797.0312817032045
238,-5773.659899183112
239,-6011.38214648234
240,-6147.873940746762
241,-5858.072332436082
242,-5734.100127066097
243,-5974.093104401376
244,-6135.264289469749
245,-5912.744342378066
246,-5683.7616517180795
247,-5925.517595382325
248,-6118.017279668262
249,-5983.491934341946
250,-5683.452154170183
251,-5874.529292869409
252,-6094.676490267149
253,-6056.792805506024
254,-5713.303571356091
255,-5855.880738885876
256,-6070.213339846056
257,-6103.873591343061
258,-5767.702886640558
259,-5824.587082899739
260,-6051.96081102035
261,-6142.7349039958235
262,-5805.0605939031075
263,-5752.8247320017335
264,-5997.396089721711
265,-6143.905082408486
266,-5867.7218712997055
267,-5713.822778787346
268,-5956.657335494815
269,-6122.666793381497
270,-5927.563671763986
271,-5679.76645976607
272,-5913.9164464237165
273,-6121.093257543024
274,-6006.2592355244415
275,-5693.40268210993
276,-5866.8721648189285
277,-6072.912323547813
278,-6055.266974592462
279,-5698.5796617862325
280,-5818.238855829603
281,-6054.061033375472
282,-6119.080670503314
283,-5745.990149482481
284,-5779.440339121002
285,-6040.324075894755
286,-6136.063848701653
287,-5804.166456371562
288,-5746.8876281664525
289,-5978.308674272215
290,-6129.941077482461
291,-5862.795842520108
292,-5718.532557594273
293,-5959.443992179
294,-6140.071956538485
295,-5946.854046962782
296,-5693.368165363527
297,-5922.3156572470725
298,-6107.175047874298
299,-6013.416267277211
300,-5695.416395011402
301,-5871.966066108551
302,-6084.930271783662
303,-6053.431106267523
304,-5695.6426355019685
305,-5819.731285324582
306,-6049.611330918566
307,-6118.967918252402
